permno,date,ret,dlret,shrout,prc,vol,exchcd,ret_adj
84372,2012-08-31,-0.03988,,159100.0,22.39,626432.0,1,-0.03988
91798,2010-07-30,0.239773,,10350.0,30.61,363450.0,4,0.239773
12226,1996-01-31,-0.053571,,9765.0,13.25,1088.0,3,-0.053571
91727,2018-06-29,0.076923,,39771.0,3.5,38200.0,3,0.076923
75313,2016-04-29,0.012727,,57313.0,4.43,20442.0,1,0.0127269999999999
87787,2002-09-30,-0.089109,,47815.0,-6.9,6.0,3,-0.089109
89309,1991-05-31,0.111111,,2599.0,-5.0,160.0,3,0.1111109999999999
79185,1998-10-30,0.0,,2595.0,1.0,6864.0,3,0.0
44725,1975-03-31,1.1,,1084.0,-2.625,,3,1.1
89388,2003-10-31,-0.080769,,3680.0,-2.39,928.0,3,-0.0807689999999999
64063,1985-10-31,-0.005435,,5417.0,22.875,1862.0,1,-0.0054349999999999
85446,2005-06-30,0.021035,,38927.0,29.61,32432.0,1,0.0210349999999999
87415,2009-11-30,0.025237,,30977.0,6.5,34503.0,1,0.0252369999999999
41718,1986-06-30,0.014286,,76406.0,44.375,68296.0,1,0.014286
87580,2008-12-31,0.274545,,29341.0,0.0701,61695.0,2,0.274545
50403,1983-11-30,0.185185,,12972.0,8.0,18640.0,3,0.1851849999999999
59775,1983-02-28,0.077491,,3431.0,-36.5,2365.0,3,0.0774909999999999
79878,2017-04-28,-0.032982,,20352.0,95.29,24025.0,3,-0.0329819999999999
90447,2013-05-31,0.095395,,4681.0,-1.665,211.0,3,0.0953949999999999
75826,1990-03-30,-0.018882,,5011.0,8.25,1314.0,1,-0.0188819999999999
28433,1969-11-28,-0.0625,,5965.0,-24.375,306.0,1,-0.0625
75355,2008-03-31,0.071636,,63785.0,13.24,25822.0,1,0.071636
81078,1996-08-30,0.0,,2688.0,1.0625,1117.0,3,0.0
14687,2020-12-31,0.104391,,106671.0,37.98,210088.0,3,0.1043909999999999
30884,1991-02-28,0.073684,,20986.0,38.25,65789.0,3,0.073684
20415,1997-06-30,0.035565,,60796.0,30.9375,19240.0,1,0.035565
36185,1977-02-28,-0.101017,,1876.0,6.5,61.0,2,-0.101017
16707,1977-10-31,-0.019305,,21432.0,31.75,8654.0,1,-0.019305
78781,1977-10-31,-0.2,,1564.0,-3.0,,3,-0.1999999999999999
77927,1996-06-28,-0.109091,,9447.0,12.25,9423.0,1,-0.109091
65103,1982-08-31,-0.016667,,1276.0,-7.375,,2,-0.0166669999999999
85741,2013-09-30,0.029192,,79248.0,13.75,84519.0,3,0.0291920000000001
85773,1998-03-31,0.121547,,3704.0,-50.75,0.0,1,0.121547
25769,1993-02-26,0.036313,,48283.0,46.375,22508.0,1,0.036313
16249,1980-11-28,,,,,,3,0.0
72611,1986-12-31,0.0,,2780.0,-0.375,130.0,3,0.0
42614,1966-11-30,-0.006186,,601.0,12.0,178.0,1,-0.006186
64152,1998-02-27,0.078571,,5770.0,18.875,678.0,3,0.0785709999999999
86211,2003-07-31,0.191152,,10455.0,43.62,97353.0,3,0.191152
83996,2008-02-29,0.084211,,4118.0,35.02,5675.0,1,0.084211
91631,2009-02-27,-0.058611,,500.0,10.44,379.0,4,-0.0586109999999999
55116,1981-12-31,-0.030303,,400.0,4.0,108.0,2,-0.0303029999999999
45153,1988-08-31,-0.194444,,3485.0,-0.90625,162.0,3,-0.194444
12623,2013-04-30,-0.008063,,49622.0,52.9,46736.0,1,-0.008063
54536,1985-05-31,-0.177778,,4789.0,-2.3125,2375.0,3,-0.177778
91555,2009-07-31,0.097451,,550.0,21.96,948.0,4,0.0974509999999999
81756,1996-03-29,-0.084906,,11603.0,12.125,25426.0,3,-0.084906
12881,2012-07-31,-0.065217,,54765.0,3.44,37892.0,3,-0.0652169999999999
79568,2002-05-31,0.036585,,37842.0,17.0,162921.0,3,0.036585
12691,2011-12-30,0.065947,,47632.0,8.89,33078.0,3,0.0659469999999999
75854,2017-06-30,-0.041727,,122730.0,6.66,109703.0,3,-0.0417269999999999
54340,1989-03-31,0.113208,,9059.0,-29.5,282.0,3,0.1132079999999999
80113,2016-08-31,-0.05448,,28219.0,7.81,86302.0,1,-0.0544799999999999
18025,1980-09-30,0.068966,,5437.0,-7.75,,3,0.068966
64290,2003-10-31,0.141806,,16022.0,17.07,49025.0,1,0.1418059999999998
69219,2001-09-28,-0.063361,,8910.0,10.2,473.0,1,-0.063361
92380,2011-11-30,-0.108824,,7318.0,3.03,1178.0,3,-0.108824
80146,1995-11-30,0.066667,,24026.0,12.0,15450.0,3,0.066667
75125,1991-10-31,-0.054608,,0.0,34.625,1560.0,2,-0.0546079999999999
88808,1985-07-31,0.034965,,2373.0,-9.25,4270.0,3,0.0349649999999999
58026,1985-01-31,0.09434,,3602.0,21.75,1551.0,1,0.09434
61138,2000-12-29,0.132653,,29645.0,6.9375,6615.0,1,0.1326529999999999
58756,1984-04-30,0.088889,,2780.0,-3.0625,1699.0,3,0.088889
18403,2007-02-28,-0.002831,,224981.0,81.01,451761.0,1,-0.002831
13557,1975-01-31,0.176471,,9983.0,15.0,585.0,1,0.176471
77266,1993-05-28,0.1,,8562.0,2.75,4608.0,3,0.1
77857,2000-04-28,-0.029703,,19877.0,6.125,18018.0,1,-0.029703
83693,1999-03-31,0.079546,,89630.0,47.5,204352.0,3,0.0795460000000001
39205,1988-10-31,0.0,,2450.0,-0.34375,20.0,3,0.0
79448,2014-01-31,0.066017,,35784.0,12.25,25833.0,1,0.0660169999999999
84168,2014-05-30,0.030045,,155195.0,27.77,247974.0,1,0.0300450000000001
35940,1991-07-31,0.028302,,43736.0,13.625,118.0,1,0.028302
10246,1990-09-28,-0.066667,,2602.0,7.0,342.0,3,-0.066667
16705,2019-02-28,-0.13698,,37242.0,18.46,36534.0,3,-0.13698
40168,1992-01-31,0.2,,2686.0,0.375,720.0,2,0.1999999999999999
23579,1975-01-31,0.163265,,28478.0,14.25,2738.0,1,0.163265
48469,1972-09-29,0.0,,1102.0,4.5,163.0,2,0.0
64645,1986-11-28,0.0,,71980.0,1.125,25437.0,1,0.0
65971,1987-06-30,0.076923,,3390.0,8.75,427.0,2,0.076923
10438,1994-11-30,-0.046875,,3662.0,-15.25,109.0,3,-0.046875
53065,1999-03-31,0.040936,,139985.0,77.875,95281.0,1,0.040936
60986,2011-09-30,-0.142341,,291400.0,11.87,793904.0,3,-0.142341
20079,1979-07-31,0.067416,,23833.0,23.75,4471.0,1,0.0674159999999999
